time,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,wind_speed_10m,shortwave_radiation,mesto
2026-01-08T16:00,-3.4,81,984.0,100,4.4,1.0,Praha
2026-01-09T08:00,-3.8,88,975.8,100,11.9,4.0,Praha
2026-01-09T09:00,-3.8,90,975.3,100,11.8,19.0,Praha
2026-01-09T10:00,-3.7,88,974.7,100,12.4,55.0,Praha
2026-01-09T11:00,-3.2,85,973.9,100,12.1,95.0,Praha
2026-01-09T12:00,-3.3,88,973.4,100,8.9,69.0,Praha
2026-01-09T13:00,-3.3,89,973.1,100,8.8,94.0,Praha
2026-01-09T14:00,-3.1,88,972.8,100,8.6,62.0,Praha
2026-01-09T15:00,-3.3,89,972.5,62,7.3,40.0,Praha
2026-01-09T16:00,-4.2,89,972.4,66,6.2,1.0,Praha
2026-01-10T08:00,-4.0,94,976.6,100,11.1,13.0,Praha
2026-01-10T09:00,-5.1,90,977.7,100,13.1,44.0,Praha
2026-01-10T10:00,-5.8,87,978.7,100,12.0,89.0,Praha
2026-01-10T11:00,-6.0,85,979.5,100,11.9,101.0,Praha
2026-01-10T12:00,-6.1,84,980.2,100,10.4,115.0,Praha
2026-01-10T13:00,-5.8,81,980.9,100,7.7,120.0,Praha
2026-01-10T14:00,-5.4,82,982.1,100,6.9,77.0,Praha
2026-01-10T15:00,-6.1,89,983.2,95,7.5,40.0,Praha
2026-01-10T16:00,-6.5,85,984.6,65,6.7,1.0,Praha
2026-01-11T08:00,-6.9,82,994.8,1,18.7,38.0,Praha
2026-01-11T09:00,-6.6,78,995.3,0,18.7,150.0,Praha
2026-01-11T10:00,-6.2,74,995.7,0,19.0,250.0,Praha
2026-01-11T11:00,-6.0,70,995.6,9,18.4,309.0,Praha
2026-01-11T12:00,-5.3,70,995.6,26,18.5,317.0,Praha
2026-01-11T13:00,-5.2,68,995.7,13,18.3,265.0,Praha
2026-01-11T14:00,-5.3,66,995.8,0,18.5,184.0,Praha
2026-01-11T15:00,-5.8,65,996.0,0,18.2,74.0,Praha
2026-01-11T16:00,-6.6,66,996.2,0,16.9,2.0,Praha
2026-01-12T08:00,-10.4,83,993.8,100,11.0,30.0,Praha
2026-01-12T09:00,-9.0,83,993.7,100,11.1,82.0,Praha
2026-01-12T10:00,-7.4,81,993.5,100,10.4,122.0,Praha
2026-01-12T11:00,-6.3,82,992.8,100,9.2,137.0,Praha
2026-01-12T12:00,-6.3,84,991.9,100,12.9,125.0,Praha
2026-01-12T13:00,-5.5,84,991.3,100,9.6,86.0,Praha
2026-01-12T14:00,-5.1,85,991.0,100,6.4,81.0,Praha
2026-01-12T15:00,-5.0,88,990.7,100,7.5,23.0,Praha
2026-01-12T16:00,-4.7,87,990.2,100,6.5,1.0,Praha
2026-01-13T08:00,2.0,93,988.3,100,5.5,24.0,Praha
2026-01-13T09:00,2.3,91,989.1,100,6.5,63.0,Praha
2026-01-13T10:00,2.8,90,989.6,100,7.2,108.0,Praha
2026-01-13T11:00,2.8,91,989.7,100,5.4,131.0,Praha
2026-01-13T12:00,3.0,90,989.8,100,4.0,143.0,Praha
2026-01-13T13:00,3.5,88,989.7,100,6.0,103.0,Praha
2026-01-13T14:00,3.4,88,989.7,98,8.3,96.0,Praha
2026-01-13T15:00,2.8,91,990.2,61,10.6,61.0,Praha
2026-01-13T16:00,1.9,95,990.2,100,10.3,3.0,Praha
2026-01-14T08:00,1.7,94,989.3,100,13.3,31.0,Praha
2026-01-14T09:00,2.3,91,989.6,100,14.0,86.0,Praha
2026-01-14T10:00,2.5,91,990.0,100,14.1,147.0,Praha
2026-01-14T11:00,2.7,91,989.9,100,13.8,148.0,Praha
2026-01-14T12:00,2.8,91,989.6,100,13.4,135.0,Praha
2026-01-14T13:00,3.1,90,989.1,100,14.4,88.0,Praha
2026-01-14T14:00,3.3,90,989.2,97,15.3,60.0,Praha
2026-01-14T15:00,3.3,90,989.5,100,17.4,53.0,Praha
2026-01-14T16:00,3.3,91,989.9,100,16.7,2.0,Praha
2026-01-15T08:00,2.7,93,991.7,100,8.0,15.0,Praha
2026-01-15T09:00,3.1,92,992.1,100,9.0,63.0,Praha
2026-01-15T10:00,3.8,92,992.2,100,9.6,106.0,Praha
2026-01-15T11:00,4.0,92,992.1,100,9.7,94.0,Praha
2026-01-15T12:00,3.8,98,991.5,100,5.1,70.0,Praha
2026-01-15T13:00,4.5,94,991.2,79,7.8,82.0,Praha
2026-01-15T14:00,4.7,95,991.2,89,3.1,124.0,Praha
2026-01-15T15:00,3.5,98,991.4,32,3.1,61.0,Praha
2026-01-15T16:00,2.3,96,991.6,5,7.3,4.0,Praha
2026-01-16T08:00,0.4,94,994.9,100,2.9,21.0,Praha
2026-01-16T09:00,0.9,94,995.5,100,3.9,59.0,Praha
2026-01-16T10:00,1.7,91,996.2,100,8.5,101.0,Praha
2026-01-16T11:00,2.7,87,996.1,100,9.3,166.0,Praha
2026-01-16T12:00,2.5,84,995.8,98,10.2,181.0,Praha
2026-01-16T13:00,3.2,81,995.7,96,8.5,158.0,Praha
2026-01-16T14:00,3.2,83,995.6,22,4.2,119.0,Praha
2026-01-16T15:00,1.9,88,995.9,30,5.6,64.0,Praha
2026-01-16T16:00,0.6,91,996.0,14,7.9,5.0,Praha
2026-01-17T08:00,1.9,95,997.9,100,9.6,12.0,Praha
2026-01-17T09:00,2.3,94,998.4,100,10.1,37.0,Praha
2026-01-17T10:00,2.9,92,998.4,100,10.9,58.0,Praha
2026-01-17T11:00,3.3,91,998.1,100,10.2,72.0,Praha
2026-01-17T12:00,3.3,89,998.2,100,9.6,85.0,Praha
2026-01-17T13:00,3.8,86,998.1,100,10.1,85.0,Praha
2026-01-17T14:00,3.7,85,998.3,100,11.1,55.0,Praha
2026-01-17T15:00,3.3,85,998.6,100,11.5,29.0,Praha
2026-01-17T16:00,3.0,86,998.9,100,12.0,3.0,Praha
2026-01-18T08:00,0.6,83,1001.9,8,14.9,41.0,Praha
2026-01-18T09:00,1.5,75,1002.2,9,13.5,152.0,Praha
2026-01-18T10:00,2.2,72,1001.9,3,13.4,246.0,Praha
2026-01-18T11:00,3.0,69,1001.5,0,13.0,306.0,Praha
2026-01-18T12:00,3.5,67,1001.0,1,13.4,322.0,Praha
2026-01-18T13:00,3.7,65,1000.6,2,13.2,283.0,Praha
2026-01-18T14:00,3.4,67,1000.4,9,13.4,202.0,Praha
2026-01-18T15:00,2.0,70,1000.7,6,13.1,92.0,Praha
2026-01-18T16:00,0.4,73,1000.8,2,13.1,7.0,Praha
2026-01-19T08:00,-2.8,70,1001.9,5,11.6,49.0,Praha
2026-01-19T09:00,-1.9,67,1002.1,8,8.9,160.0,Praha
2026-01-19T10:00,-1.2,66,1001.8,2,11.8,252.0,Praha
2026-01-19T11:00,-0.2,65,1001.4,2,11.2,316.0,Praha
2026-01-19T12:00,1.5,59,1001.0,2,12.4,329.0,Praha
2026-01-19T13:00,1.5,59,1000.7,2,12.2,290.0,Praha
2026-01-19T14:00,0.8,63,1000.6,2,11.7,207.0,Praha
2026-01-19T15:00,-0.4,68,1000.8,3,10.2,96.0,Praha
2026-01-19T16:00,-2.0,74,1001.1,2,11.0,8.0,Praha
2026-01-20T08:00,-4.8,72,1000.0,7,10.2,51.0,Praha
2026-01-20T09:00,-3.2,63,999.9,16,9.3,160.0,Praha
2026-01-20T10:00,-2.1,59,999.4,11,9.2,255.0,Praha
2026-01-20T11:00,-1.0,55,998.6,7,8.8,309.0,Praha
2026-01-20T12:00,-0.6,55,998.4,11,8.2,328.0,Praha
2026-01-20T13:00,0.1,52,997.6,3,8.4,288.0,Praha
2026-01-20T14:00,0.0,53,997.1,2,8.8,213.0,Praha
2026-01-20T15:00,-1.0,59,996.7,0,6.6,100.0,Praha
2026-01-20T16:00,-2.7,67,996.4,0,8.8,10.0,Praha
2026-01-21T08:00,-5.8,73,989.6,32,7.9,41.0,Praha
2026-01-21T09:00,-4.6,64,989.0,20,6.6,153.0,Praha
2026-01-21T10:00,-3.3,59,988.2,17,5.1,259.0,Praha
2026-01-21T11:00,-2.1,55,987.0,8,4.0,309.0,Praha
2026-01-21T12:00,-2.5,64,986.4,14,7.2,334.0,Praha
2026-01-21T13:00,-1.2,58,985.3,4,3.7,233.0,Praha
2026-01-21T14:00,-0.6,55,984.4,5,3.1,214.0,Praha
2026-01-21T15:00,-1.5,60,983.5,5,1.5,104.0,Praha
2026-01-21T16:00,-2.4,64,983.1,9,6.2,11.0,Praha
2026-01-22T08:00,-5.4,74,976.9,94,4.2,39.0,Praha
2026-01-22T09:00,-4.3,69,976.9,94,5.0,117.0,Praha
2026-01-22T10:00,-3.5,64,977.0,100,7.3,191.0,Praha
2026-01-22T11:00,-3.0,61,976.6,100,7.0,189.0,Praha
2026-01-22T12:00,-3.7,70,976.7,100,6.5,217.0,Praha
2026-01-22T13:00,-3.5,67,976.3,100,6.2,108.0,Praha
2026-01-22T14:00,-3.3,65,976.3,99,5.9,103.0,Praha
2026-01-22T15:00,-3.5,63,976.4,94,5.6,62.0,Praha
2026-01-22T16:00,-3.8,64,976.6,94,5.0,7.0,Praha
2026-01-23T08:00,-5.8,75,978.1,100,6.5,20.0,Praha
2026-01-23T09:00,-5.2,72,978.2,100,7.3,73.0,Praha
2026-01-23T10:00,-4.4,69,978.2,100,6.3,115.0,Praha
2026-01-23T11:00,-3.7,66,977.9,100,5.2,175.0,Praha
2026-01-23T12:00,-4.2,70,977.8,100,5.3,194.0,Praha
2026-01-23T13:00,-3.7,68,977.6,100,5.2,121.0,Praha
2026-01-23T14:00,-3.4,67,977.4,100,5.9,91.0,Praha
2026-01-23T15:00,-3.0,68,977.3,100,6.1,56.0,Praha
2026-01-23T16:00,-3.2,72,977.5,100,2.8,7.0,Praha
2026-01-24T08:00,-3.8,86,979.6,100,3.6,16.0,Praha
2026-01-24T09:00,-3.2,84,980.0,100,3.4,48.0,Praha
2026-01-24T10:00,-2.3,81,980.4,100,2.7,77.0,Praha
2026-01-24T11:00,-1.5,78,980.2,100,4.2,112.0,Praha
2026-01-24T12:00,-1.4,76,980.1,100,2.8,117.0,Praha
2026-01-24T13:00,-0.8,74,980.0,100,3.5,107.0,Praha
2026-01-24T14:00,-0.6,75,980.0,100,3.5,73.0,Praha
2026-01-24T15:00,-0.8,77,980.2,100,4.0,37.0,Praha
2026-01-24T16:00,-1.4,83,980.0,100,5.7,4.0,Praha
2026-01-25T08:00,-0.1,95,977.0,100,7.3,16.0,Praha
2026-01-25T09:00,1.0,90,977.0,100,8.3,50.0,Praha
2026-01-25T10:00,1.9,88,976.6,100,9.0,78.0,Praha
2026-01-25T11:00,2.5,85,975.8,100,10.4,111.0,Praha
2026-01-25T12:00,1.8,88,975.0,100,10.2,99.0,Praha
2026-01-25T13:00,1.9,90,974.3,100,8.0,57.0,Praha
2026-01-25T14:00,2.3,90,973.4,100,10.0,56.0,Praha
2026-01-25T15:00,2.2,93,972.8,100,10.0,43.0,Praha
2026-01-25T16:00,1.9,95,972.2,100,8.9,6.0,Praha
2026-01-26T08:00,0.9,93,971.1,99,7.5,21.0,Praha
2026-01-26T09:00,2.3,84,971.5,100,14.1,107.0,Praha
2026-01-26T10:00,2.8,81,971.7,99,10.3,183.0,Praha
2026-01-26T11:00,3.7,73,972.1,98,18.3,241.0,Praha
2026-01-26T12:00,4.1,71,972.4,100,13.6,217.0,Praha
2026-01-26T13:00,4.2,74,972.6,100,7.0,127.0,Praha
2026-01-26T14:00,3.6,80,972.9,100,9.4,62.0,Praha
2026-01-26T15:00,3.1,84,973.3,100,10.1,42.0,Praha
2026-01-26T16:00,2.1,90,973.4,100,9.9,5.0,Praha
2026-01-27T07:00,-1.1,88,977.0,82,8.4,1.0,Praha
2026-01-27T08:00,-0.1,87,977.4,59,9.0,55.0,Praha
2026-01-27T09:00,1.0,82,977.2,1,6.6,121.0,Praha
2026-01-27T10:00,2.2,75,977.0,48,7.2,249.0,Praha
2026-01-27T11:00,2.8,73,976.6,100,8.0,293.0,Praha
2026-01-27T12:00,2.7,71,976.3,100,8.9,166.0,Praha
2026-01-27T13:00,3.0,68,975.9,100,6.2,127.0,Praha
2026-01-27T14:00,2.7,77,975.5,100,2.1,81.0,Praha
2026-01-27T15:00,2.3,78,974.9,92,0.9,64.0,Praha
2026-01-27T16:00,0.9,80,974.5,98,3.2,14.0,Praha
2026-01-28T08:00,-0.3,93,971.5,100,8.7,18.0,Praha
2026-01-28T09:00,-0.1,91,971.3,100,8.9,48.0,Praha
2026-01-28T10:00,0.3,89,971.2,100,10.1,63.0,Praha
2026-01-28T11:00,0.7,87,970.8,100,11.5,80.0,Praha
2026-01-28T12:00,1.4,84,970.2,100,13.1,130.0,Praha
2026-01-28T13:00,1.8,83,969.8,100,12.6,99.0,Praha
2026-01-28T14:00,1.9,82,969.7,100,11.4,66.0,Praha
2026-01-28T15:00,1.7,82,969.7,100,9.4,32.0,Praha
2026-01-28T16:00,1.3,83,969.9,100,11.4,7.0,Praha
2026-01-29T08:00,-0.4,96,972.6,100,9.6,12.0,Praha
2026-01-29T09:00,-0.4,95,973.0,100,10.9,49.0,Praha
2026-01-29T10:00,-0.3,94,973.5,100,11.1,73.0,Praha
2026-01-29T11:00,-0.2,94,973.3,100,10.9,77.0,Praha
2026-01-29T12:00,-0.1,94,973.3,100,10.7,132.0,Praha
2026-01-29T13:00,-0.1,94,973.3,100,10.5,102.0,Praha
2026-01-29T14:00,-0.2,95,973.7,100,8.8,54.0,Praha
2026-01-29T15:00,-0.1,95,974.2,100,8.0,39.0,Praha
2026-01-29T16:00,-0.2,96,974.4,100,7.8,6.0,Praha
2026-01-30T07:00,-0.8,99,976.6,100,4.5,1.0,Praha
2026-01-30T08:00,-0.6,96,976.8,100,5.2,21.0,Praha
2026-01-30T09:00,-0.3,95,976.9,100,5.6,54.0,Praha
2026-01-30T10:00,-0.2,94,977.0,100,6.4,89.0,Praha
2026-01-30T11:00,0.1,93,977.0,100,5.7,113.0,Praha
2026-01-30T12:00,0.2,94,977.1,100,6.2,128.0,Praha
2026-01-30T13:00,0.2,93,977.0,100,4.8,83.0,Praha
2026-01-30T14:00,0.4,93,977.1,100,5.2,73.0,Praha
2026-01-30T15:00,0.4,93,977.4,100,5.6,38.0,Praha
2026-01-30T16:00,0.2,94,977.5,100,5.7,9.0,Praha
2026-01-31T07:00,-1.1,93,980.2,100,8.6,1.0,Praha
2026-01-31T08:00,-1.0,91,980.6,100,8.0,26.0,Praha
2026-01-31T09:00,-0.9,90,981.2,100,8.0,57.0,Praha
2026-01-31T10:00,-0.7,88,981.5,100,8.8,105.0,Praha
2026-01-31T11:00,-0.3,86,981.8,100,8.3,136.0,Praha
2026-01-31T12:00,-0.2,88,981.9,100,9.4,153.0,Praha
2026-01-31T13:00,-0.1,86,981.8,98,8.7,151.0,Praha
2026-01-31T14:00,-0.2,86,982.1,100,8.8,141.0,Praha
2026-01-31T15:00,-0.4,86,982.8,100,8.1,76.0,Praha
2026-01-31T16:00,-1.0,88,983.5,100,8.3,14.0,Praha
2026-02-01T07:00,-4.1,83,987.3,100,6.7,1.0,Praha
2026-02-01T08:00,-3.8,82,987.5,100,5.9,25.0,Praha
2026-02-01T09:00,-3.5,81,987.7,100,5.8,68.0,Praha
2026-02-01T10:00,-3.2,80,987.6,100,6.0,101.0,Praha
2026-02-01T11:00,-3.0,79,987.7,100,6.6,134.0,Praha
2026-02-01T12:00,-2.8,78,987.3,100,6.9,137.0,Praha
2026-02-01T13:00,-2.7,77,986.9,100,6.1,131.0,Praha
2026-02-01T14:00,-2.5,76,986.6,100,6.3,108.0,Praha
2026-02-01T15:00,-2.5,76,986.6,100,6.2,58.0,Praha
2026-02-01T16:00,-2.8,79,986.6,100,5.8,13.0,Praha
2026-02-02T07:00,-4.3,89,983.4,100,7.6,2.0,Praha
2026-02-02T08:00,-3.5,87,983.4,100,7.9,44.0,Praha
2026-02-02T09:00,-2.0,85,983.5,100,7.2,103.0,Praha
2026-02-02T10:00,-1.0,84,983.4,100,8.3,124.0,Praha
2026-02-02T11:00,-0.7,84,982.8,100,10.1,119.0,Praha
2026-02-02T12:00,-1.2,85,982.3,100,12.9,152.0,Praha
2026-02-02T13:00,-1.2,83,981.6,100,14.2,116.0,Praha
2026-02-02T14:00,-0.6,83,981.6,100,14.6,100.0,Praha
2026-02-02T15:00,-0.6,85,981.6,100,12.3,44.0,Praha
2026-02-02T16:00,-0.9,87,981.7,100,13.0,8.0,Praha
2026-02-03T07:00,-1.0,90,981.6,100,14.6,2.0,Praha
2026-02-03T08:00,-0.6,88,981.4,100,15.4,27.0,Praha
2026-02-03T09:00,-0.2,85,981.6,100,15.9,68.0,Praha
2026-02-03T10:00,0.1,83,981.2,100,17.9,113.0,Praha
2026-02-03T11:00,0.4,81,980.7,100,19.4,147.0,Praha
2026-02-03T12:00,0.4,77,980.9,100,18.2,144.0,Praha
2026-02-03T13:00,0.6,75,980.2,100,17.1,121.0,Praha
2026-02-03T14:00,0.4,77,979.8,100,16.0,82.0,Praha
2026-02-03T15:00,0.2,79,979.8,100,13.2,39.0,Praha
2026-02-03T16:00,-0.1,81,980.0,100,10.9,10.0,Praha
2026-02-04T07:00,-0.4,95,980.6,100,5.0,3.0,Praha
2026-02-04T08:00,-0.1,94,980.5,100,6.2,35.0,Praha
2026-02-04T09:00,0.6,90,980.3,100,5.9,82.0,Praha
2026-02-04T10:00,1.6,86,979.9,100,7.1,168.0,Praha
2026-02-04T11:00,2.5,83,979.2,100,8.3,273.0,Praha
2026-02-04T12:00,1.8,85,978.7,100,11.5,311.0,Praha
2026-02-04T13:00,1.4,85,977.7,100,13.3,204.0,Praha
2026-02-04T14:00,1.7,81,977.0,100,12.7,133.0,Praha
2026-02-04T15:00,1.3,83,976.6,100,10.9,55.0,Praha
2026-02-04T16:00,0.9,87,976.2,100,11.7,11.0,Praha
2026-02-05T07:00,1.4,98,970.0,100,9.9,4.0,Praha
2026-02-05T08:00,2.0,96,970.0,100,10.3,40.0,Praha
2026-02-05T09:00,2.7,96,970.2,100,8.0,113.0,Praha
2026-02-05T10:00,3.3,93,970.4,100,8.3,100.0,Praha
2026-02-05T11:00,4.1,93,970.3,100,6.7,154.0,Praha
2026-02-05T12:00,2.8,98,969.5,100,5.1,119.0,Praha
2026-02-05T13:00,2.8,99,969.2,100,7.8,53.0,Praha
2026-02-05T14:00,3.2,97,968.9,100,8.8,59.0,Praha
2026-02-05T15:00,3.4,97,968.9,100,9.0,96.0,Praha
2026-02-05T16:00,2.8,96,968.9,100,7.7,20.0,Praha
2026-02-06T07:00,1.6,98,966.7,100,5.8,2.0,Praha
2026-02-06T08:00,2.2,98,967.1,100,7.4,21.0,Praha
2026-02-06T09:00,3.2,96,967.6,100,7.1,56.0,Praha
2026-02-06T10:00,4.0,96,968.2,100,6.5,91.0,Praha
2026-02-06T11:00,4.7,91,968.4,100,5.9,123.0,Praha
2026-02-06T12:00,4.2,93,968.5,100,3.9,164.0,Praha
2026-02-06T13:00,4.8,87,968.6,100,4.2,115.0,Praha
2026-02-06T14:00,4.6,86,969.1,100,4.3,81.0,Praha
2026-02-06T15:00,4.1,92,969.6,100,4.3,40.0,Praha
2026-02-06T16:00,3.5,94,970.3,100,5.1,10.0,Praha
2026-02-07T07:00,0.4,96,977.6,100,5.1,6.0,Praha
2026-02-07T08:00,1.8,94,978.0,99,5.8,74.0,Praha
2026-02-07T09:00,3.1,93,978.6,100,4.5,120.0,Praha
2026-02-07T10:00,3.5,93,979.1,100,3.1,100.0,Praha
2026-02-07T11:00,3.9,92,979.2,100,1.3,115.0,Praha
2026-02-07T12:00,3.2,94,979.0,100,2.7,86.0,Praha
2026-02-07T13:00,3.6,94,979.0,100,2.4,82.0,Praha
2026-02-07T14:00,3.8,94,979.2,100,1.8,81.0,Praha
2026-02-07T15:00,3.7,96,979.3,100,1.9,40.0,Praha
2026-02-07T16:00,3.0,98,979.6,100,2.0,7.0,Praha
2026-02-08T07:00,2.1,99,982.7,100,5.8,2.0,Praha
2026-02-08T08:00,2.3,99,983.1,100,6.9,17.0,Praha
2026-02-08T09:00,2.8,97,983.5,100,6.8,44.0,Praha
2026-02-08T10:00,3.0,95,984.0,100,5.4,77.0,Praha
2026-02-08T11:00,3.5,93,984.2,100,4.0,105.0,Praha
2026-02-08T12:00,3.6,93,983.7,100,6.3,135.0,Praha
2026-02-08T13:00,3.9,90,983.6,100,7.4,104.0,Praha
2026-02-08T14:00,3.7,91,983.6,100,5.6,67.0,Praha
2026-02-08T15:00,3.5,93,983.7,100,5.2,37.0,Praha
2026-02-08T16:00,3.0,94,984.0,100,5.7,13.0,Praha
2026-02-09T07:00,0.5,94,985.0,100,6.7,3.0,Praha
2026-02-09T08:00,1.0,92,985.1,100,5.8,32.0,Praha
2026-02-09T09:00,1.5,91,985.1,100,6.2,73.0,Praha
2026-02-09T10:00,2.0,90,985.1,100,4.8,89.0,Praha
2026-02-09T11:00,2.7,89,985.1,100,4.3,114.0,Praha
2026-02-09T12:00,2.0,91,984.7,100,5.9,120.0,Praha
2026-02-09T13:00,2.6,89,984.2,100,7.0,96.0,Praha
2026-02-09T14:00,3.0,86,983.9,100,7.2,72.0,Praha
2026-02-09T15:00,3.0,86,983.7,100,6.7,45.0,Praha
2026-02-09T16:00,2.5,87,983.4,100,7.3,22.0,Praha
2026-02-10T07:00,1.4,95,978.5,100,6.9,5.0,Praha
2026-02-10T08:00,1.9,90,978.3,100,8.1,48.0,Praha
2026-02-10T09:00,2.5,81,978.1,100,8.5,115.0,Praha
2026-02-10T10:00,3.1,77,977.7,97,8.2,187.0,Praha
2026-02-10T11:00,4.1,73,977.2,100,8.5,269.0,Praha
2026-02-10T12:00,3.8,74,976.4,97,8.1,317.0,Praha
2026-02-10T13:00,5.1,69,975.5,100,5.2,338.0,Praha
2026-02-10T14:00,5.7,68,974.6,12,5.4,299.0,Praha
2026-02-10T15:00,5.6,72,974.0,6,3.5,187.0,Praha
2026-02-10T16:00,3.5,80,973.3,10,4.2,58.0,Praha
2026-02-11T07:00,1.7,90,964.7,100,8.8,4.0,Praha
2026-02-11T08:00,3.0,83,964.5,100,11.8,61.0,Praha
2026-02-11T09:00,4.0,79,964.3,100,9.1,88.0,Praha
2026-02-11T10:00,5.1,79,964.0,100,7.5,165.0,Praha
2026-02-11T11:00,4.7,85,963.6,100,10.0,54.0,Praha
2026-02-11T12:00,4.2,91,963.0,100,9.0,34.0,Praha
2026-02-11T13:00,4.8,93,962.6,100,9.7,60.0,Praha
2026-02-11T14:00,4.6,96,961.8,100,9.9,19.0,Praha
2026-02-11T15:00,5.8,94,961.6,100,12.6,43.0,Praha
2026-02-11T16:00,6.2,95,961.5,100,13.3,9.0,Praha
2026-02-12T07:00,4.2,97,957.7,100,15.8,13.0,Praha
2026-02-12T08:00,5.4,94,957.3,99,14.8,89.0,Praha
2026-02-12T09:00,6.4,92,957.1,100,9.9,139.0,Praha
