time,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,wind_speed_10m,shortwave_radiation,mesto
2026-01-01T08:00,0.5,86,982.4,100,18.9,11.0,Praha
2026-01-01T09:00,0.2,82,981.7,98,21.5,53.0,Praha
2026-01-01T10:00,0.0,79,981.0,100,22.0,166.0,Praha
2026-01-01T11:00,0.2,79,980.1,99,23.1,179.0,Praha
2026-01-01T12:00,0.6,76,978.8,100,17.7,188.0,Praha
2026-01-01T13:00,0.7,77,977.8,100,20.2,168.0,Praha
2026-01-01T14:00,0.6,78,976.7,100,20.0,103.0,Praha
2026-01-01T15:00,0.4,78,976.3,100,18.3,36.0,Praha
2026-01-02T08:00,1.1,78,969.9,100,27.0,17.0,Praha
2026-01-02T09:00,1.5,78,969.9,100,25.5,72.0,Praha
2026-01-02T10:00,1.9,76,969.9,100,24.4,139.0,Praha
2026-01-02T11:00,2.3,70,969.9,65,24.9,201.0,Praha
2026-01-02T12:00,1.5,73,970.4,74,26.8,233.0,Praha
2026-01-02T13:00,1.5,70,970.2,6,26.6,185.0,Praha
2026-01-02T14:00,1.1,69,970.4,16,25.0,144.0,Praha
2026-01-02T15:00,0.3,68,970.6,4,23.1,46.0,Praha
2026-01-03T08:00,-1.8,82,976.5,13,19.1,31.0,Praha
2026-01-03T09:00,-1.1,79,976.9,61,23.7,129.0,Praha
2026-01-03T10:00,-1.0,83,977.1,95,23.8,167.0,Praha
2026-01-03T11:00,-0.8,79,977.1,100,21.4,192.0,Praha
2026-01-03T12:00,-0.1,73,977.1,100,22.7,168.0,Praha
2026-01-03T13:00,-0.3,73,976.9,100,23.0,73.0,Praha
2026-01-03T14:00,-0.3,72,976.8,99,20.6,50.0,Praha
2026-01-03T15:00,-0.6,71,976.6,73,18.5,24.0,Praha
2026-01-04T08:00,-2.0,78,982.6,45,20.2,22.0,Praha
2026-01-04T09:00,-1.9,76,983.1,9,20.5,116.0,Praha
2026-01-04T10:00,-1.1,74,983.1,69,19.4,208.0,Praha
2026-01-04T11:00,-0.8,74,983.2,93,23.0,206.0,Praha
2026-01-04T12:00,0.1,71,983.5,85,18.3,159.0,Praha
2026-01-04T13:00,0.2,68,983.6,100,21.3,137.0,Praha
2026-01-04T14:00,-0.1,71,983.7,100,18.9,96.0,Praha
2026-01-04T15:00,-0.4,72,983.9,53,17.4,34.0,Praha
2026-01-05T08:00,-7.2,81,987.9,0,6.8,33.0,Praha
2026-01-05T09:00,-5.8,76,988.2,74,5.7,135.0,Praha
2026-01-05T10:00,-3.8,69,988.3,96,4.1,217.0,Praha
2026-01-05T11:00,-2.2,62,988.1,8,4.1,264.0,Praha
2026-01-05T12:00,-1.2,50,987.7,27,2.8,282.0,Praha
2026-01-05T13:00,-0.9,46,987.2,97,2.7,190.0,Praha
2026-01-05T14:00,-1.0,48,987.3,52,3.2,99.0,Praha
2026-01-05T15:00,-1.6,51,987.2,45,2.1,35.0,Praha
2026-01-06T08:00,-7.4,77,989.4,0,9.8,33.0,Praha
2026-01-06T09:00,-6.2,69,989.9,41,8.4,133.0,Praha
2026-01-06T10:00,-5.0,63,990.0,84,7.9,217.0,Praha
2026-01-06T11:00,-3.8,59,989.7,17,8.2,260.0,Praha
2026-01-06T12:00,-3.5,64,989.5,100,7.3,274.0,Praha
2026-01-06T13:00,-2.8,63,989.3,100,6.6,171.0,Praha
2026-01-06T14:00,-2.6,64,989.3,100,6.0,90.0,Praha
2026-01-06T15:00,-2.7,66,989.4,100,4.5,38.0,Praha
2026-01-06T16:00,-3.8,73,989.7,100,4.0,1.0,Praha
2026-01-07T08:00,-5.8,82,991.2,81,7.4,24.0,Praha
2026-01-07T09:00,-5.4,77,991.4,98,6.4,81.0,Praha
2026-01-07T10:00,-4.9,74,990.8,100,5.6,124.0,Praha
2026-01-07T11:00,-4.3,71,990.1,99,5.0,171.0,Praha
2026-01-07T12:00,-3.5,63,989.7,98,7.4,217.0,Praha
2026-01-07T13:00,-3.3,60,988.9,100,6.9,120.0,Praha
2026-01-07T14:00,-3.5,61,988.3,100,6.0,85.0,Praha
2026-01-07T15:00,-3.7,63,988.0,100,5.6,38.0,Praha
2026-01-07T16:00,-3.8,64,987.8,100,3.6,1.0,Praha
2026-01-08T08:00,-8.4,76,985.3,64,7.4,30.0,Praha
2026-01-08T09:00,-6.4,70,985.3,98,7.5,112.0,Praha
2026-01-08T10:00,-4.8,70,985.1,98,6.1,135.0,Praha
2026-01-08T11:00,-3.6,70,984.7,98,5.6,121.0,Praha
2026-01-08T12:00,-3.2,72,984.2,100,6.9,152.0,Praha
2026-01-08T13:00,-2.3,71,984.0,100,7.0,92.0,Praha
2026-01-08T14:00,-1.9,71,984.2,100,6.6,71.0,Praha
2026-01-08T15:00,-2.3,74,984.0,99,3.2,30.0,Praha
